Agency,Type,Value
ADMIN FOR CHILDREN'S SERVICES,AMOUNTS TO BE SCHEDULED,61395
ADMIN FOR CHILDREN'S SERVICES,"Charges, Services and Expenses",183481878
ADMIN FOR CHILDREN'S SERVICES,CONTRACTUAL SERVICES,1873795501
ADMIN FOR CHILDREN'S SERVICES,Pay and Fringe Benefits,462534164
ADMIN FOR CHILDREN'S SERVICES,"Property, Equipment, and Supplies",6863226
ADMIN FOR CHILDREN'S SERVICES,SOCIAL SERVICES,450183286
BOARD OF CORRECTION,AMOUNTS TO BE SCHEDULED,37543
BOARD OF CORRECTION,"Charges, Services and Expenses",99160
BOARD OF CORRECTION,CONTRACTUAL SERVICES,57350
BOARD OF CORRECTION,Pay and Fringe Benefits,2823200
BOARD OF CORRECTION,"Property, Equipment, and Supplies",43850
BOARD OF ELECTIONS,AMOUNTS TO BE SCHEDULED,1146345
BOARD OF ELECTIONS,"Charges, Services and Expenses",34411891
BOARD OF ELECTIONS,CONTRACTUAL SERVICES,37822187
BOARD OF ELECTIONS,Pay and Fringe Benefits,51209331
BOARD OF ELECTIONS,"Property, Equipment, and Supplies",7957691
BOROUGH PRESIDENT,AMOUNTS TO BE SCHEDULED,696483
BOROUGH PRESIDENT,"Charges, Services and Expenses",4961471
BOROUGH PRESIDENT,CONTRACTUAL SERVICES,1695975
BOROUGH PRESIDENT,Pay and Fringe Benefits,24151416
BOROUGH PRESIDENT,"Property, Equipment, and Supplies",842410
BUSINESS INTEGRITY COMMISSION,"Charges, Services and Expenses",2369486
BUSINESS INTEGRITY COMMISSION,CONTRACTUAL SERVICES,125268
BUSINESS INTEGRITY COMMISSION,Pay and Fringe Benefits,5985452
BUSINESS INTEGRITY COMMISSION,"Property, Equipment, and Supplies",644825
CAMPAIGN FINANCE BOARD,AMOUNTS TO BE SCHEDULED,429045
CAMPAIGN FINANCE BOARD,"Charges, Services and Expenses",2763000
CAMPAIGN FINANCE BOARD,CONTRACTUAL SERVICES,3189000
CAMPAIGN FINANCE BOARD,Pay and Fringe Benefits,9032716
CAMPAIGN FINANCE BOARD,"Property, Equipment, and Supplies",762000
CITY CLERK,AMOUNTS TO BE SCHEDULED,6809
CITY CLERK,"Charges, Services and Expenses",655318
CITY CLERK,CONTRACTUAL SERVICES,345990
CITY CLERK,Pay and Fringe Benefits,4563575
CITY CLERK,"Property, Equipment, and Supplies",150091
CITY COUNCIL,AMOUNTS TO BE SCHEDULED,3992772
CITY COUNCIL,"Charges, Services and Expenses",11576037
CITY COUNCIL,CONTRACTUAL SERVICES,977500
CITY COUNCIL,Pay and Fringe Benefits,45237229
CITY COUNCIL,"Property, Equipment, and Supplies",2293906
CITY UNIVERSITY OF NEW YORK,AMOUNTS TO BE SCHEDULED,2206110
CITY UNIVERSITY OF NEW YORK,"Charges, Services and Expenses",153690739
CITY UNIVERSITY OF NEW YORK,CONTRACTUAL SERVICES,10223975
CITY UNIVERSITY OF NEW YORK,Pay and Fringe Benefits,720878927
CITY UNIVERSITY OF NEW YORK,"Property, Equipment, and Supplies",169957658
CIVIL SERVICE COMMISSION,AMOUNTS TO BE SCHEDULED,23291
CIVIL SERVICE COMMISSION,"Charges, Services and Expenses",4683
CIVIL SERVICE COMMISSION,CONTRACTUAL SERVICES,20817
CIVIL SERVICE COMMISSION,Pay and Fringe Benefits,988362
CIVIL SERVICE COMMISSION,"Property, Equipment, and Supplies",48817
CIVILIAN COMPLAINT REVIEW BOARD,"Charges, Services and Expenses",2621091
CIVILIAN COMPLAINT REVIEW BOARD,CONTRACTUAL SERVICES,119115
CIVILIAN COMPLAINT REVIEW BOARD,Pay and Fringe Benefits,12746019
CIVILIAN COMPLAINT REVIEW BOARD,"Property, Equipment, and Supplies",773941
COMMISSION ON HUMAN RIGHTS,AMOUNTS TO BE SCHEDULED,576
COMMISSION ON HUMAN RIGHTS,"Charges, Services and Expenses",2876251
COMMISSION ON HUMAN RIGHTS,CONTRACTUAL SERVICES,219227
COMMISSION ON HUMAN RIGHTS,Pay and Fringe Benefits,8005977
COMMISSION ON HUMAN RIGHTS,"Property, Equipment, and Supplies",457468
COMMUNITY BOARD,AMOUNTS TO BE SCHEDULED,506235
COMMUNITY BOARD,"Charges, Services and Expenses",4552089
COMMUNITY BOARD,CONTRACTUAL SERVICES,243257
COMMUNITY BOARD,OTPS HOLDING CODES,24041
COMMUNITY BOARD,Pay and Fringe Benefits,12087409
COMMUNITY BOARD,"Property, Equipment, and Supplies",362503
CONFLICTS OF INTEREST BOARD,"Charges, Services and Expenses",79934
CONFLICTS OF INTEREST BOARD,CONTRACTUAL SERVICES,29603
CONFLICTS OF INTEREST BOARD,Pay and Fringe Benefits,2400634
CONFLICTS OF INTEREST BOARD,"Property, Equipment, and Supplies",50949
DEBT SERVICE,CONTRACTUAL SERVICES,115078628
DEBT SERVICE,TRANSFERS FOR DEBT SERVICE,2870412982
DEPARTMENT FOR THE AGING,AMOUNTS TO BE SCHEDULED,282058
DEPARTMENT FOR THE AGING,"Charges, Services and Expenses",18534095
DEPARTMENT FOR THE AGING,CONTRACTUAL SERVICES,281583105
DEPARTMENT FOR THE AGING,Pay and Fringe Benefits,30151483
DEPARTMENT FOR THE AGING,"Property, Equipment, and Supplies",586435
DEPARTMENT OF BUILDINGS,AMOUNTS TO BE SCHEDULED,35263
DEPARTMENT OF BUILDINGS,"Charges, Services and Expenses",4940776
DEPARTMENT OF BUILDINGS,CONTRACTUAL SERVICES,32609341
DEPARTMENT OF BUILDINGS,Pay and Fringe Benefits,129888949
DEPARTMENT OF BUILDINGS,"Property, Equipment, and Supplies",7607854
DEPARTMENT OF CITY PLANNING,"Charges, Services and Expenses",7366016
DEPARTMENT OF CITY PLANNING,CONTRACTUAL SERVICES,8349605
DEPARTMENT OF CITY PLANNING,Pay and Fringe Benefits,27998984
DEPARTMENT OF CITY PLANNING,"Property, Equipment, and Supplies",2579339
DEPARTMENT OF CITYWIDE ADMIN SERVICE,AMOUNTS TO BE SCHEDULED,1774380
DEPARTMENT OF CITYWIDE ADMIN SERVICE,"Charges, Services and Expenses",883537609
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CONTRACTUAL SERVICES,77787155
DEPARTMENT OF CITYWIDE ADMIN SERVICE,Pay and Fringe Benefits,181907963
DEPARTMENT OF CITYWIDE ADMIN SERVICE,"Property, Equipment, and Supplies",41530126
