Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Has A Kinder Garden,Has A Pre K,Grades At The School,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal Name,Geographical District Code,Admin District Location Code,Lat,Lon,Pre K Seats Available,Pre K Applicants,Pre K offers,Pre K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre K Total Enrollment Including Half Day And Full Day,Number of Female Students in Prek,Percentage of Female Students in Prek,Number of Male Students in Prek,Percentage of Male Students in Prek,Number of Asian Students in Prek,Percentage of Asian Students in Prek,Number of Black Students in Prek,Percentage of Black Students in Prek,Number of Hispanic Students in Prek,Percentage of Hispanic Students in Prek,Number of Students with a Race listed as Other in Prek,Percentage of Students with a Race listed as Other in Prek,Number of White Students in Prek,Percentage of White Students in Prek,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
01M015,M015,P.S. 015 Roberto Clemente,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",1644,1904,114,990141,202349,103,2,2601,1003740020,MN28,Lower East Side                                                            ,IRENE SANCHEZ,1,M801,40.722075,-73.978747,18,87,18,20.69%,25,160,26,16.25%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,17,9,52.94%,8,47.06%,suppressed for privacy concerns,suppressed for privacy concerns,8,47.06%,6,35.29%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,47,62.67%,39,52.00%,YES,Redacted for privacy concerns,0,0,8,20,1,GYMNASIUM,Y,Inside,N,NO,NO,41,3807647,0,0,190,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.11%,91,47.89%,20,10.53%,52,27.37%,110,57.89%,2,1.05%,6,3.16%,45,23.68%,8,4.21%,161,84.74%,0.8896052837,92,145,1,Non-Zoned,No preference for kids who live in the zone,Yes,No Data,NONE,212-228-8730,"333 EAST  4 STREET, MANHATTAN NY 10009",1,0,YES,Partially Accessible,Yes
01M019,M019,P.S. 019 Asher Levy,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",20637,1956,62,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,JACQUELINE FLANAGAN,1,M801,40.730009,-73.984496,18,81,18,22.22%,50,161,59,36.65%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,13,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,12,92.31%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,62,54.39%,65,58.56%,NO,Redacted for privacy concerns,12,0,0,10,1,GYMNASIUM,Y,Inside,N,NO,NO,51,4915236,0,0,257,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.36%,143,55.64%,23,8.95%,49,19.07%,166,64.59%,3,1.17%,16,6.23%,87,33.85%,8,3.11%,197,76.65%,0.6719377637,84,179,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-533-5340,"185 1 AVENUE, MANHATTAN NY 10003",1,1,YES,Not Accessible,Yes
01M020,M020,P.S. 020 Anna Silver,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",23193,1963,55,988044,202068,103,1,3001,1003550001,MN27,Chinatown                                                                  ,SARAH PINTO VIAGRAN,1,M801,40.721305,-73.986312,54,190,34,17.89%,100,260,80,30.77%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,34,19,55.88%,15,44.12%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,21,61.76%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,82,36.12%,76,33.33%,NO,Redacted for privacy concerns,15.66666,0,0,22,1,MULTI-PURPOSE CLASSROOM,N,Inside,Y,NO,NO,63.6,5738328,0,0,497,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.09%,253,50.91%,147,29.58%,51,10.26%,264,53.12%,19,3.82%,16,3.22%,114,22.94%,86,17.30%,356,71.63%,0.7915050387,198,314,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,"CHINESE, SPANISH",212-254-9577,"166 ESSEX STREET, MANHATTAN NY 10002",1,1,NO,Partially Accessible,No
01M034,M034,P.S. 034 Franklin D. Roosevelt,310000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",20271,1955,63,991163,203782,103,2,2800,1003810038,MN28,Lower East Side                                                            ,ANGELIKI LOUKATOS,1,M801,40.726008,-73.975058,18,42,17,40.48%,25,69,27,39.13%,70,85,46,0.541176471,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,13,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,7,53.85%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,59,25.65%,35,15.28%,NO,43,0,0,0,25,1,GYMNASIUM,N,Inside,N,NO,NO,54.6,4952127,0,0,333,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45.05%,183,54.95%,11,3.30%,106,31.83%,204,61.26%,3,0.90%,9,2.70%,122,36.64%,25,7.51%,325,97.60%,0.9390150309,111,226,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-228-4433,"730 EAST  12 STREET, MANHATTAN NY 10009",1,0,NO,Not Accessible,No
01M063,M063,The STAR Academy - P.S.63,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",2009,1905,113,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,DARLENE CAMERON,1,M801,40.72444,-73.986214,36,105,35,33.33%,50,180,44,24.44%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,26,12,46.15%,14,53.85%,suppressed for privacy concerns,suppressed for privacy concerns,6,23.08%,13,50.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,39,55.71%,39,55.71%,NO,12,19,0,0,21,0,DANCE ROOM,Y,Inside,N,NO,NO,44.6,3685757,0,0,203,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.26%,103,50.74%,6,2.96%,37,18.23%,128,63.05%,8,3.94%,24,11.82%,67,33.00%,2,0.99%,166,81.77%,0.7590837479,103,161,3,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-674-3180,"121 EAST  3 STREET, MANHATTAN NY 10009",1,1,YES,Not Accessible,No
01M064,M064,P.S. 064 Robert Simon,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",19906,1954,64,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,Marlon L. Hosang,1,M801,40.72313,-73.981597,36,63,34,53.97%,50,104,46,44.23%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,35,20,57.14%,15,42.86%,suppressed for privacy concerns,suppressed for privacy concerns,7,20.00%,27,77.14%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,28,29.17%,28,28.57%,NO,0,12,0,0,15,1,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,NO,NO,39,3659120,0,0,245,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.22%,144,58.78%,11,4.49%,51,20.82%,167,68.16%,3,1.22%,13,5.31%,71,28.98%,5,2.04%,223,91.02%,0.8763224483,68,151,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-673-6510,"600 EAST  6 STREET, MANHATTAN NY 10009",1,1,YES,Not Accessible,No
01M110,M110,P.S. 110 Florence Nightingale,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",913,1902,116,989817,199992,103,1,1200,0,MN28,Lower East Side                                                            ,KAREN FEUER,1,M801,40.7162,-73.9798,36,131,36,27.48%,50,242,50,20.66%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,30,12,40.00%,18,60.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,15,50.00%,suppressed for privacy concerns,suppressed for privacy concerns,10,33.33%,126,72.00%,131,75.72%,YES,6,22,0,17,25,1,GYMNASIUM,N,Inside,N,NO,NO,38,3450466,0,0,379,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.80%,213,56.20%,64,16.89%,37,9.76%,168,44.33%,11,2.90%,99,26.12%,47,12.40%,14,3.69%,235,62.01%,0.574699223,53,232,1,Non-Zoned,No preference for kids who live in the zone,Yes,No Data,NONE,212-674-2690,"285 DELANCY STREET, MANHATTAN NY 10002",1,1,NO,Not Accessible,No
01M134,M134,P.S. 134 Henrietta Szold,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",22098,1960,58,988726,199497,103,1,202,1002880001,MN28,Lower East Side                                                            ,Daniel Kim,1,M801,40.714248,-73.983854,36,48,31,64.58%,50,88,49,55.68%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,20,9,45.00%,11,55.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,15,75.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,46,28.40%,50,30.49%,NO,42,18,0,0,18,1,DANCE ROOM,N,Inside,N,NO,NO,61,5179743,0,0,297,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.11%,166,55.89%,33,11.11%,64,21.55%,182,61.28%,7,2.36%,11,3.70%,119,40.07%,26,8.75%,269,90.57%,0.88953197,151,226,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-673-4470,"293 EAST BROADWAY, MANHATTAN NY 10002",2,1,NO,Partially Accessible,No
01M140,M140,P.S. 140 Nathan Straus,310000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",21732,1959,59,988749,201282,103,1,2201,1003440001,MN28,Lower East Side                                                            ,MELISSA RODRIGUEZ,1,M801,40.719148,-73.983769,18,66,18,27.27%,50,102,37,36.27%,65,202,79,0.391089109,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,11,61.11%,7,38.89%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,13,72.22%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,60,24.10%,39,16.05%,NO,29,13,0,0,13,1,GYMNASIUM,N,Inside,N,NO,NO,58.4,4964166,0,0,371,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.06%,189,50.94%,21,5.66%,46,12.40%,292,78.71%,2,0.54%,10,2.70%,115,31.00%,36,9.70%,324,87.33%,0.9056064487,74,252,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-677-4680,"123 RIDGE STREET, MANHATTAN NY 10002",1,0,NO,Not Accessible,Yes
01M142,M142,P.S. 142 Amalia Castro,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",27942,1976,42,988653,200908,103,1,1402,1003430001,MN28,Lower East Side                                                            ,DAPHNA GUTMAN,1,M801,40.718121,-73.984116,48,92,46,50.00%,75,116,47,40.52%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,32,16,50.00%,16,50.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,25,78.13%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,48,40.00%,suppressed for privacy concerns,suppressed for privacy concerns,NO,Redacted for privacy concerns,21,0,0,21.5,1,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,NO,NO,66,5578190,0,0,340,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.71%,188,55.29%,8,2.35%,43,12.65%,281,82.65%,7,2.06%,1,0.29%,122,35.88%,27,7.94%,331,97.35%,0.9040911794,213,269,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-598-3800,"100 ATTORNEY STREET, MANHATTAN NY 10002",1,1,YES,Partially Accessible,No
