highest_educ_level,White Median Salary,Non-White Median Salary,Rank of Edu
Post-Doctorate,126453,85647,1
Doctorate (Professional),95099,90906,2
Doctorate (Academic),88808,85029,3
Master's Level Degree,83150,74060,4
Some Graduate School,77318,58440,5
Bachelor’s Level Degree,66463,57070,6
2-Year College Degree,67760,50763,7
Technical School,84146,72307,8
Some College,77318,50763,9
HS Graduate or Equivalent,77318,48371,10
Less Than HS Graduate,84146,48473,11
Not Indicated,85292,61471,12
