Date,Average_Hours
Jan-2013,430
Feb-2013,396
Mar-2013,452
Apr-2013,441
May-2013,455
Jun-2013,436
Jul-2013,427
Aug-2013,396
Sep-2013,432
Oct-2013,453
Nov-2013,436
Dec-2013,435
Jan-2014,418
Feb-2014,392
Mar-2014,452
Apr-2014,435
May-2014,445
Jun-2014,421
Jul-2014,405
Aug-2014,407
Sep-2014,413
Oct-2014,432
Nov-2014,411
Dec-2014,413
Jan-2015,390
Feb-2015,376
Mar-2015,416
Apr-2015,413
May-2015,419
Jun-2015,398
Jul-2015,381
Aug-2015,380
Sep-2015,370
Oct-2015,406
Nov-2015,380
Dec-2015,387
Jan-2016,363
Feb-2016,371
Mar-2016,405
Apr-2016,398
May-2016,401
Jun-2016,382
Jul-2016,362
Aug-2016,362
Sep-2016,355
Oct-2016,383
Nov-2016,366
Dec-2016,371
Jan-2017,347
Feb-2017,329
Mar-2017,372
Apr-2017,363
May-2017,366
Jun-2017,347
Jul-2017,331
Aug-2017,331
Sep-2017,331
Oct-2017,365
Nov-2017,349
Dec-2017,350
Jan-2018,324
Feb-2018,313
Mar-2018,350
Apr-2018,347
May-2018,348
Jun-2018,328
Jul-2018,313
Aug-2018,313
Sep-2018,313
Oct-2018,347
Nov-2018,326
Dec-2018,324
Jan-2019,307
Feb-2019,287
Mar-2019,323
Apr-2019,308
May-2019,311
Jun-2019,295
Jul-2019,284
Aug-2019,236
