Date,Average_Revenue
Jan-2013,12963
Feb-2013,12318
Mar-2013,14251
Apr-2013,13929
May-2013,14482
Jun-2013,13625
Jul-2013,12846
Aug-2013,11899
Sep-2013,13497
Oct-2013,14267
Nov-2013,13464
Dec-2013,13242
Jan-2014,12228
Feb-2014,11680
Mar-2014,13895
Apr-2014,13385
May-2014,13994
Jun-2014,13015
Jul-2014,12086
Aug-2014,11851
Sep-2014,12629
Oct-2014,13326
Nov-2014,12312
Dec-2014,12183
Jan-2015,11179
Feb-2015,11300
Mar-2015,12466
Apr-2015,12405
May-2015,12878
Jun-2015,11992
Jul-2015,11178
Aug-2015,10832
Sep-2015,11135
Oct-2015,12212
Nov-2015,11102
Dec-2015,11215
Jan-2016,10221
Feb-2016,10581
Mar-2016,11649
Apr-2016,11562
May-2016,11821
Jun-2016,11153
Jul-2016,10247
Aug-2016,9922
Sep-2016,10484
Oct-2016,10978
Nov-2016,10217
Dec-2016,10326
Jan-2017,9130
Feb-2017,8733
Mar-2017,10229
Apr-2017,10078
May-2017,10375
Jun-2017,9894
Jul-2017,8812
Aug-2017,8696
Sep-2017,9421
Oct-2017,10182
Nov-2017,9587
Dec-2017,9675
Jan-2018,8525
Feb-2018,8312
Mar-2018,9602
Apr-2018,9741
May-2018,10018
Jun-2018,9456
Jul-2018,8506
Aug-2018,8612
Sep-2018,8999
Oct-2018,9895
Nov-2018,9115
Dec-2018,8987
Jan-2019,7924
Feb-2019,7477
Mar-2019,8582
Apr-2019,8307
May-2019,8715
Jun-2019,8200
Jul-2019,7460
Aug-2019,6173
