date,single adults,adult families,families with children
1/1/2019,16013,5353,39204
1/2/2019,16118,5359,39240
1/3/2019,16168,5365,39201
1/4/2019,16088,5342,39214
1/5/2019,16116,5332,39244
1/6/2019,16215,5348,39344
1/7/2019,16263,5406,39364
1/8/2019,16259,5383,39325
1/9/2019,16302,5400,39411
1/10/2019,16355,5397,39412
1/11/2019,16269,5410,39649
1/12/2019,16280,5402,39733
1/13/2019,16361,5393,39525
1/14/2019,16401,5435,39419
1/15/2019,16363,5430,39403
1/16/2019,16372,5427,39492
1/17/2019,16406,5449,39443
1/18/2019,16364,5441,39368
1/19/2019,16336,5425,39406
1/20/2019,16388,5424,39415
1/21/2019,16434,5433,39421
1/22/2019,16427,5429,39371
1/23/2019,16442,5407,39399
1/24/2019,16461,5404,39389
1/25/2019,16435,5391,39360
1/26/2019,16444,5362,39331
1/27/2019,16474,5380,39261
1/28/2019,16515,5396,39244
1/29/2019,16518,5394,39277
1/30/2019,16527,5391,39333
1/31/2019,16499,5387,39318
2/1/2019,16412,5385,39282
2/2/2019,16390,5365,39240
2/3/2019,16370,5365,39268
2/4/2019,16466,5389,39204
2/5/2019,16478,5372,39169
2/6/2019,16512,5365,39207
2/7/2019,16475,5377,39177
2/8/2019,16460,5387,39152
2/9/2019,16460,5370,39091
2/10/2019,16476,5364,39051
2/11/2019,16535,5379,38977
2/12/2019,16489,5370,39019
2/13/2019,16547,5396,38989
2/14/2019,16510,5385,39070
2/15/2019,16448,5375,38988
2/16/2019,16511,5356,38967
2/17/2019,16526,5367,38909
2/18/2019,16574,5349,38807
2/19/2019,16601,5360,38837
2/20/2019,16590,5353,38718
2/21/2019,16584,5356,38738
2/22/2019,16519,5363,38725
2/23/2019,16546,5341,38735
2/24/2019,16610,5346,38717
2/25/2019,16623,5360,38711
2/26/2019,16640,5344,38681
2/27/2019,16588,5365,38667
2/28/2019,16505,5361,38670
3/1/2019,16410,5342,38621
3/2/2019,16361,5327,38677
3/3/2019,16467,5308,38725
3/4/2019,16534,5380,38756
3/5/2019,16467,5362,38621
3/6/2019,16546,5344,38610
3/7/2019,16549,5324,38751
3/8/2019,16434,5319,38669
3/9/2019,16406,5305,38715
3/10/2019,16441,5313,38667
3/11/2019,16463,5313,38736
3/12/2019,16528,5328,38701
3/13/2019,16531,5320,38728
3/14/2019,16509,5315,38562
3/15/2019,16381,5282,38643
3/16/2019,16328,5266,38524
3/17/2019,16432,5262,38516
3/18/2019,16493,5283,38408
3/19/2019,16513,5286,38410
3/20/2019,16494,5294,38489
3/21/2019,16536,5297,38482
3/22/2019,16497,5300,38492
3/23/2019,16461,5287,38355
3/24/2019,16532,5301,38313
3/25/2019,16548,5306,38260
3/26/2019,16562,5289,38215
3/27/2019,16571,5291,38249
3/28/2019,16544,5292,38315
3/29/2019,16458,5304,38289
3/30/2019,16361,5259,38274
3/31/2019,16457,5259,38241
4/1/2019,16462,5279,38210
4/2/2019,16512,5272,38244
4/3/2019,16444,5264,38283
4/4/2019,16408,5262,38200
4/5/2019,16382,5252,38149
4/6/2019,16292,5252,38191
4/7/2019,16406,5253,38212
4/8/2019,16410,5268,38082
4/9/2019,16414,5225,37071
4/10/2019,16420,5218,37172
4/11/2019,16486,5246,37239
4/12/2019,16478,5217,37062
4/13/2019,16321,5219,37039
4/14/2019,16438,5247,37069
4/15/2019,16521,5245,36993
4/16/2019,16556,5252,36986
4/17/2019,16581,5251,36861
4/18/2019,16555,5226,36812
4/19/2019,16443,5252,36821
4/20/2019,16448,5254,36868
4/21/2019,16493,5264,36883
4/22/2019,16554,5273,36759
4/23/2019,16552,5310,36755
4/24/2019,16560,5268,36821
4/25/2019,16543,5294,36828
4/26/2019,16488,5297,36897
4/27/2019,16473,5283,36889
4/28/2019,16574,5282,36886
4/29/2019,16583,5290,36834
4/30/2019,16524,5304,36884
5/1/2019,16442,5300,36868
5/2/2019,16447,5301,36767
5/3/2019,16365,5312,36673
5/4/2019,16334,5291,36771
5/5/2019,16456,5287,36797
5/6/2019,16465,5308,36792
5/7/2019,16459,5298,36788
5/8/2019,16443,5326,36815
5/9/2019,16436,5312,36869
5/10/2019,16363,5330,36861
5/11/2019,16323,5306,36865
5/12/2019,16437,5312,36881
5/14/2019,16529,5330,36814
5/15/2019,16491,5338,36857
5/16/2019,16400,5318,36778
