month,0-17,18-29,30-44,45-64,65+
January 2019,24491,8592,7796,2125,84
February 2019,24161,8390,7745,2114,85
March 2019,23964,8408,7661,2099,90
April 2019,23659,8305,7600,2053,93
May 2019,22960,8115,7376,1951,96
June 2019,22852,8046,7368,1959,93
July 2019,23220,8106,7473,1962,88
August 2019,23780,8319,7608,1980,89
September 2019,23791,8352,7667,1980,89
October 2019,23763,8273,7682,1952,84
November 2019,23561,8101,7628,1917,87
December 2019,23312,8040,7567,1892,92
January 2020,23386,8099,7563,1882,94
February 2020,22849,7818,7379,1864,91
March 2020,22024,7429,7190,1782,85
April 2020,21036,7042,6934,1720,81
May 2020,20785,7013,6851,1694,77
June 2020,20536,6976,6767,1658,79
July 2020,20271,6911,6715,1611,81
August 2020,20125,6854,6648,1567,76
September 2020,19973,6796,6581,1530,82
