month,0-17,18-29,30-44,45-64,65+
January 2019,,,6219,9539,1455
February 2019,,,6076,9537,1457
March 2019,,,6309,9680,1445
April 2019,,,6291,9600,1444
May 2019,,,6270,9549,1435
June 2019,,,6244,9501,1433
July 2019,,,6234,9495,1437
August 2019,,,6306,9546,1458
September 2019,,,6201,9512,1481
October 2019,,,6308,9701,1537
November 2019,,,6324,9699,1554
December 2019,,,6355,9780,1569
January 2020,,,6512,9870,1626
February 2020,,,6554,9815,1629
March 2020,,,6705,10019,1657
April 2020,,,6372,9886,1687
May 2020,,,6444,9986,1667
June 2020,,,6345,9877,1627
July 2020,,,6422,9935,1626
August 2020,,,6417,9957,1651
September 2020,,,6472,10005,1681
