month,0-17,18-29,30-44,45-64,65+
January 2019,,,1459,2143,270
February 2019,,,1473,2112,267
March 2019,,,1476,2098,268
April 2019,,,1455,2037,258
May 2019,,,1468,2069,266
June 2019,,,1441,2078,267
July 2019,,,1450,2073,277
August 2019,,,1465,2049,276
September 2019,,,1453,2026,271
October 2019,,,1438,2049,276
November 2019,,,1418,2035,283
December 2019,,,1409,2021,278
January 2020,,,1391,2019,275
February 2020,,,1359,1994,262
March 2020,,,1377,1986,262
April 2020,,,1325,1939,253
May 2020,,,1309,1942,254
June 2020,,,1299,1934,248
July 2020,,1617,1225,1899,241
August 2020,,1580,1205,1844,237
September 2020,,1537,1176,1819,229
