Month,"Asian, Pacific Islander",Black (non-Hispanic),Hispanic,Native American,White (non-Hispanic),Unknown
January 2019,18,1486,929,9,252,73
February 2019,20,1460,905,8,258,79
March 2019,22,1451,931,7,257,79
April 2019,21,1424,922,8,254,73
May 2019,21,1437,934,7,254,74
June 2019,23,1446,936,7,244,69
July 2019,23,1460,931,9,241,68
August 2019,25,1473,942,10,238,60
September 2019,23,1447,923,9,250,55
October 2019,23,1460,929,10,254,61
November 2019,23,1430,921,9,256,63
December 2019,25,1428,905,9,252,67
January 2020,23,1416,909,10,244,74
February 2020,21,1399,893,9,227,74
March 2020,22,1390,894,9,228,68
April 2020,24,1336,844,9,218,62
May 2020,25,1318,835,8,218,62
June 2020,25,1287,831,9,217,62
July 2020,22,1118,711,8,176,53
August 2020,21,1051,666,7,163,51
September 2020,21,992,631,6,155,48
