Age,Women Median Salary,Men Median Salary
19,36752,36516
21,39473,38965
23,43451,42922
25,47252,47126
27,49646,49950
29,53104,55006
31,56383,64860
33,58320,73235
35,60705,83698
37,62948,86159
39,64449,85759
41,66273,85292
43,66626,85292
45,65605,85292
47,62832,85292
49,60561,85292
51,58392,85359
53,57971,85345
55,58141,85062
57,57903,83548
59,57308,80769
61,57095,73701
63,57025,76439
65,56978,75300
67,56685,73862
69,56631,72742
71,57022,72586
73,56532,72519
75,54634,71806
77,53489,71850
79,51786,72695
