Age (Years),Median Salary Non-Uniformed,Median Salary Uniformed
19,35505,NA
21,38494,38686
23,43400,42960
25,46956,45575
27,50774,50801
29,54450,53752
31,56144,67019
33,57976,82087
35,58982,87081
37,59865,85297
39,61038,85292
41,61716,85292
43,62221,85292
45,62045,85292
47,61574,85292
49,60893,85292
51,61116,85292
53,62081,85292
55,62663,85292
57,62831,85292
59,62692,85292
61,62483,85572
63,62140,85018
65,62049,80492
67,62184,NA
69,62849,NA
71,63551,NA
73,62947,NA
75,61069,NA
77,59513,NA
79,61058,NA
81,61553,NA
83,59219,NA
85,55657,NA
