Years of Experience,DOP median salary,DOC median salary
0,42759,44333
1,42759,48371
2,49173,52170
3,49173,52170
4,50280,57587
5,50795,85292
6,49173,85292
7,49726.5,85292
8,52405,85292
9,52926,85292
10,52156.5,85292
11,53576,85292
12,53597,85292
13,53985.5,85292
14,54210,85292
15,,85292
16,49173,85292
17,59940,85292
18,60925,85292
19,61210,85292
20,60791,85292
21,61982,85292
22,61210,85292
23,62383.5,85292
24,63324,85292
25,62034,85292
26,63346,85292
27,63472.5,85292
28,63324,85292
29,63688,85292
30,63688,85292
31,64337,85292
32,64941.5,85292
33,63982,85292
34,65309,85292
35,63356,85292
36,63688,85292
37,65987,85292
38,,85292
39,,85292
40,,85292
41,,
42,,
43,,
44,,
45,65987,
46,,85292
