Year,Precinct 42,Precinct 46,Precinct 67,Precinct 73,Precinct 79,Precinct 101
2006,53.91,56.94,57.97,116.81,98.60,46.22
2007,78.98,46.02,46.38,151.50,109.68,31.31
2008,61.43,46.80,54.11,133.00,79.77,74.55
2009,80.24,36.66,62.48,93.68,101.92,55.17
2010,60.18,50.70,51.53,120.28,66.47,43.24
2011,68.96,40.56,66.99,126.06,90.85,52.19
2012,76.48,52.26,47.02,108.71,75.34,56.66
2013,67.70,24.96,55.39,99.46,60.93,35.79
2014,68.96,53.04,50.89,99.46,43.21,46.22
2015,50.15,53.04,39.94,79.80,44.31,40.26
2016,33.85,34.32,45.73,57.82,45.42,29.82
2017,38.87,24.18,35.43,42.79,37.67,14.91
2018,46.39,20.28,26.41,63.61,43.21,23.86
2019,46.39,28.86,21.26,55.51,35.45,22.37
