,MODZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,MedInc,Plus65,NotHispWhite,MODZ_Comorb,HousingDensity,MODZ_LOI,COVID_DEATH_RATE
1,10001,Chelsea/NoMad/West Chelsea,Manhattan,88104.3084469179,14.7295005423761,52.867136725935,155.316674643806,1.69936683497636,8.50748625179929,101.85
2,10002,Chinatown/Lower East Side,Manhattan,35859,21.1,22,237.258413175372,2.35690918039431,18.6103389661034,204.55
3,10003,East Village/Gramercy/Greenwich Village,Manhattan,112131,11.8,70.4,116.166034420235,1.80269000579188,7.04231846369274,63.2
4,10004,Financial District,Manhattan,157645,7.5,60.6,79.1108049866782,1.48153477218225,5.65731352273868,27.39
5,10005,Financial District,Manhattan,173333,1.3,69.4,66.8363030491656,1.34192213654316,6.77194,23.82
6,10006,Financial District,Manhattan,176250,0.5,63.2,62.7125394677492,1.51230537418383,5.5,0
7,10007,TriBeCa,Manhattan,246813,6.2,72,115.016811989175,2.22335348393255,7.63617,36.36
8,10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,61548,15.3,51.2,173.597894991737,1.93468731275032,12.5957704229577,117.45
9,10010,Flatiron/Gramercy/Kips Bay,Manhattan,117923,14,63.9,134.134306948963,1.76561286744315,7.48516851685168,58.69
10,10011,Chelsea,Manhattan,128613,16.2,71.5,142.954869993089,1.53326115722363,7.10483048304831,82.83
11,10012,Greenwich Village/SoHo,Manhattan,109037,14.2,69.8,134.08268424849,1.64627895851842,7.19900009999,37.53
12,10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,105442,15.5,52.4,161.178680249516,2.05794947994056,10.1638672265547,72.34
13,10014,Hudson Square/Meatpacking District/West Village,Manhattan,126601,14.9,83.9,128.856672970502,1.47351191848402,5.57496250374962,90.2
14,10016,Kips Bay/Murray Hill/NoMad,Manhattan,117004,14.5,66.3,121.081135254849,1.52126793385181,6.75225,93.29
15,10017,East Midtown/Murray Hill,Manhattan,127459.860683915,21.2922923828478,68.4752125927266,131.868839511204,1.28764463772618,5.88712119293167,49.61
16,10018,Hell's Kitchen/Midtown Manhattan,Manhattan,108914,7.3,47.6,109.797469494813,1.18169491525424,8.36211,52.46
17,10019,Hell's Kitchen/Midtown Manhattan,Manhattan,98826.0842488279,15.4989154013015,56.6960324679868,144.360535136393,1.36520825372564,7.9366484710657,103.37
18,10021,Lenox Hill/Upper East Side,Manhattan,118289,22.2,79.3,155.384393351373,1.52406734665363,5.25643435656434,147.14
19,10022,East Midtown,Manhattan,135363,28.5,78.8,167.89942902868,1.35933574622099,5.23755624437556,98.9
20,10023,Lincoln Square,Manhattan,130452,22.5,72.5,153.132549839288,1.54809400538044,5.9969403059694,87.93
21,10024,Upper West Side,Manhattan,131668,19.5,76.8,166.558388863329,1.74608270499529,6.2742,123.83
22,10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,85930,20,54.6,182.047142638014,1.98668542747338,9.62731726827317,185.2
23,10026,Central Harlem (South),Manhattan,58884,10.4,19.7,217.780197474262,2.14896037413891,14.7818336332733,120.46
24,10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,46113,10.2,25.1,196.40849490452,2.38151649315943,14.8014202840568,174.44
25,10028,Upper East Side/Yorkville,Manhattan,125140,18.6,80.9,152.71226565661,1.60421479085966,5.30788921107889,63.07
26,10029,East Harlem,Manhattan,34016,13.4,15.5,226.206618746053,2.44217730792712,20.41861,265.09
27,10030,Central Harlem (North),Manhattan,37232,11.1,10.8,243.631327013983,2.08068742293465,17.24325,184.16
28,10031,Hamilton Heights/West Harlem,Manhattan,49891,10.9,17.4,215.235217257555,2.49681472305787,21.05909,213.02
29,10032,Washington Heights (South),Manhattan,50391,12.9,14.1,215.848013867986,2.67689218844843,22.637496250375,279.71
30,10033,Washington Heights (North)/Washington Heights (South),Manhattan,58614,14,23.6,194.325859616599,2.68075164048519,21.52895,200.98
31,10034,Inwood/Washington Heights (North),Manhattan,54716,13.5,20.1,205.890793725756,2.48280262906005,22.81291,160.19
32,10035,East Harlem,Manhattan,30081,12.6,10.2,259.78013787847,2.43767491926803,24.4602360236024,374.71
33,10036,Hell's Kitchen/Midtown Manhattan,Manhattan,91936,11.3,51.4,145.755837289129,1.37604410290678,8.59788,148.79
34,10037,Central Harlem (North)/East Harlem,Manhattan,45041,14.5,5.9,277.643437361299,1.84276796106232,14.70026,305.09
35,10038,Chinatown/Financial District,Manhattan,86058,17,45,174.770785024808,1.98805210067574,12.73712,117.92
36,10039,Central Harlem (North)/Washington Heights (South),Manhattan,39653,9.4,6.8,258.958199061795,2.25680898049319,19.053795379538,238.12
37,10040,Washington Heights (North),Manhattan,47137,16.5,21,208.593448584776,2.53877377923179,21.7629337066293,263.34
38,10044,Roosevelt Island,Manhattan,100441,19.2,38.1,185.824747677041,2.37349888052107,9.09776,299.14
39,10065,Lenox Hill/Upper East Side,Manhattan,127375,21.5,80.7,155.25593045106,1.41821218247341,5.3709,96.35
40,10069,Lincoln Square,Manhattan,110625,6.8,61.4,173.104227271087,1.65257469802924,6.78431,31.56
41,10075,Lenox Hill/Upper East Side,Manhattan,140280.999280731,26.6424692512407,76.8756347550888,147.112901658076,1.6057053762199,5.49181921851399,190.4
42,10128,Upper East Side/Yorkville,Manhattan,114010,18.6,71.1,145.337019949176,1.71546538024972,6.23542354235424,68.46
43,10280,Battery Park City,Manhattan,169844,9.1,70.5,113.930926441137,1.5826279725917,5.58631863186319,0
44,10282,Battery Park City,Manhattan,225000,5.9,67,108.319260261615,1.92552334943639,5.9,271.96
45,10301,Silver Lake/St. George,Staten Island,55802,14.9,42.5,227.268718782138,2.44179324764775,14.02845,265.06
46,10302,Elm Park,Staten Island,64103,10.3,31.2,218.277671443283,2.96997043721799,18.1555655565557,165.12
47,10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,62558,9.4,17.7,222.184542103758,2.98910452843037,17.753449310138,175.36
48,10304,New Dorp/Todt Hill,Staten Island,52199,14.2,37.8,230.984595920124,2.72793689791168,15.3568856885689,419.33
49,10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,76489,14.9,62.3,212.07690380205,2.57916846852412,12.2603820764153,187.97
50,10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,79569,17.8,74.6,214.016524590211,2.53935595221874,10.2990600939906,149.02
51,10307,Tottenville,Staten Island,80893,11.4,87.3,183.330635457826,2.63279790810609,9.28009,98.59
52,10308,Great Kills,Staten Island,93963,17.8,83.7,202.037508416779,2.553149790014,9.00468,94.48
53,10309,Charleston/Prince's Bay/Woodrow,Staten Island,103175,15.5,85,185.052071867388,2.7827314735581,9.20374,93.93
54,10310,Port Richmond/Randall Manor/West Brighton,Staten Island,72093,13.4,41.6,218.815820296509,2.7603671348004,14.8317331733173,138.24
55,10312,Annadale/Rossville,Staten Island,95064,17.2,82,198.906028700999,2.66140203589044,9.05424362871171,97.84
56,10314,Bloomfield/Freshkills Park,Staten Island,86742,17.2,62.5,210.565410821641,2.62840807795162,10.6293729372937,217.98
57,10451,Concourse/Melrose,Bronx,28921,12.6,2.6,279.030734307623,2.57117948141065,24.69574,310.15
58,10452,Concourse/Highbridge,Bronx,28277,8.1,1.9,258.372175638854,2.91390242016547,27.2144714471447,218.08
59,10453,Morris Heights/Mount Hope/University Heights,Bronx,25275,8.4,1.2,262.824036874154,2.89840106595603,27.11318,199.55
60,10454,Mott Haven/Port Morris,Bronx,21149,8.4,2.3,274.90281795456,2.92334794863765,31.3472852714729,274.7
61,10455,Mott Haven,Bronx,26801,9.2,1.3,264.3571021247,2.86369215219118,29.8044895510449,253.71
62,10456,Claremont/Morrisania,Bronx,27106,9,1.2,279.154928523976,2.9188560250919,26.334103410341,305
63,10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,27420,9.1,1.4,263.708259608099,2.89344935150222,27.231403140314,247.71
