,prop_vac,NAME,estimate,numb_biz,n_vac
1,0,"Census Tract 9, New York County, New York",103512,90,NA
2,0.1222222222,"Census Tract 9, New York County, New York",103512,90,11
3,0,"Census Tract 13, New York County, New York",102773,70,NA
4,0.1714285714,"Census Tract 13, New York County, New York",102773,70,12
5,0.2857142857,"Census Tract 317.04, New York County, New York",101656,7,2
6,0,"Census Tract 317.04, New York County, New York",101656,7,NA
7,0,"Census Tract 317.03, New York County, New York",129028,13,NA
8,0.07692307692,"Census Tract 317.03, New York County, New York",129028,13,1
9,0,"Census Tract 7, New York County, New York",80240,55,NA
10,0.1818181818,"Census Tract 7, New York County, New York",80240,55,10
11,0,"Census Tract 29, New York County, New York",16282,223,NA
12,0,"Census Tract 15.02, New York County, New York",82560,84,NA
13,0.25,"Census Tract 15.02, New York County, New York",82560,84,21
14,0,"Census Tract 21, New York County, New York",141635,70,NA
15,0.2,"Census Tract 21, New York County, New York",141635,70,14
16,0,"Census Tract 15.01, New York County, New York",60233,64,NA
17,0.171875,"Census Tract 15.01, New York County, New York",60233,64,11
18,0,"Census Tract 27, New York County, New York",38214,24,NA
19,0,"Census Tract 39, New York County, New York",85525,56,NA
20,0.2142857143,"Census Tract 39, New York County, New York",85525,56,12
21,0,"Census Tract 33, New York County, New York",102231,136,NA
22,0.1617647059,"Census Tract 33, New York County, New York",102231,136,22
23,0,"Census Tract 31, New York County, New York",42083,56,NA
24,0.1607142857,"Census Tract 31, New York County, New York",42083,56,9
25,0.1434977578,"Census Tract 29, New York County, New York",16282,223,32
26,0,"Census Tract 41, New York County, New York",37179,272,NA
27,0.1544117647,"Census Tract 41, New York County, New York",37179,272,42
28,0,"Census Tract 45, New York County, New York",58958,115,NA
29,0.2086956522,"Census Tract 45, New York County, New York",58958,115,24
30,0,"Census Tract 37, New York County, New York",94809,67,NA
31,0.1641791045,"Census Tract 37, New York County, New York",94809,67,11
32,0,"Census Tract 47, New York County, New York",80295,151,NA
33,0.1523178808,"Census Tract 47, New York County, New York",80295,151,23
34,0,"Census Tract 8, New York County, New York",15984,165,NA
35,0,"Census Tract 6, New York County, New York",11753,69,NA
36,0,"Census Tract 2.02, New York County, New York",19173,8,NA
37,0.2028985507,"Census Tract 6, New York County, New York",11753,69,14
38,0.2242424242,"Census Tract 8, New York County, New York",15984,165,37
39,0.04166666667,"Census Tract 27, New York County, New York",38214,24,1
40,0,"Census Tract 16, New York County, New York",19751,237,NA
41,0,"Census Tract 2.01, New York County, New York",15294,7,NA
42,0.1428571429,"Census Tract 2.01, New York County, New York",15294,7,1
43,0.1392405063,"Census Tract 16, New York County, New York",19751,237,33
44,0,"Census Tract 14.01, New York County, New York",66292,9,NA
45,0,"Census Tract 12, New York County, New York",30142,11,NA
46,0,"Census Tract 14.02, New York County, New York",20111,55,NA
47,0,"Census Tract 22.01, New York County, New York",18430,48,NA
48,0.1041666667,"Census Tract 22.01, New York County, New York",18430,48,5
49,0.1636363636,"Census Tract 14.02, New York County, New York",20111,55,9
50,0,"Census Tract 30.01, New York County, New York",54754,144,NA
51,0.1597222222,"Census Tract 30.01, New York County, New York",54754,144,23
52,0,"Census Tract 18, New York County, New York",28839,253,NA
53,0.1581027668,"Census Tract 18, New York County, New York",28839,253,40
54,0.2307692308,"Census Tract 22.02, New York County, New York",56642,13,3
55,0,"Census Tract 22.02, New York County, New York",56642,13,NA
56,0,"Census Tract 26.01, New York County, New York",27361,18,NA
57,0.1111111111,"Census Tract 26.01, New York County, New York",27361,18,2
