Title and Code,Percent Men,Percent Women,Non-binary,Other gender,Unknown or Choose Not to Disclose,count,Median Salary
CAPTAIN DETAILED AS ASSISTANT (7026G),0.81,0.19,0,0,0,27,240511
CAPTAIN DA DEPUTY CHIEF INSPE (7026F),0.96,0.04,0,0,0,76,195133
CAPTAIN D/A INSPECTOR (REC N/S (7026E),0.91,0.08,0,0,0.01,131,185248
CAPTAIN D/A DEPUTY INSPECTOR ( (7026D),0.91,0.09,0,0,0,172,175929
ADMINISTRATIVE STAFF ANALYST (10026),0.27,0.73,0,0,0,15,169981
CAPTAIN (POLICE SERVICE) (70265),0.91,0.09,0,0,0,351,167132
INTELLEGENCE RESEARCH MANAGER- (82800),0.5,0.5,0,0,0,6,161854
COMPUTER SYSTEMS MANAGER (10050),0.83,0.17,0,0,0,18,157503
EXECUTIVE AGENCY COUNSEL (95005),0.49,0.49,0,0,0.03,35,154670
COMPUTER OPERATIONS MANAGER (10074),1,0,0,0,0,9,154500
ADMIN CONTRACT SPECIALIST (10095),0.14,0.86,0,0,0,7,152971
POLICE SURGEON (53051),0.89,0.11,0,0,0,27,145372
"LIEUTENANT D,'A COMMANDER OF DE (7026B)",0.97,0.03,0,0,0.01,177,144726
"LIEUTENANT D,'A SPECIAL ASSIGNM (7026A)",0.84,0.16,0,0,0,156,144726
MANAGER OF RADIO REPAIR OPERATIONS (8298E),1,0,0,0,0,5,137187
STATIONARY ENGINEER (91644),1,0,0,0,0,13,132796.8
LIEUTENANT (POLICE) (RECUR NS) (70260),0.87,0.12,0,0,0,1380,131564
CRIMINALIST ASSISTANT DIRECTOR (2184C),0.43,0.57,0,0,0,7,131368
POLICE OFFICER DA DETECTIVE 1 (7021C),0.92,0.08,0,0,0,374,125531
SERGEANT DA SPECIAL ASSIGNMEN (7023A),0.78,0.22,0,0,0,274,125531
SERGEANT D/A SUPERVISOR DETECT (7023B),0.89,0.11,0,0,0,348,125531
OILER (91628),1,0,0,0,0,20,124758
ADMINISTRATIVE PROJECT MANAGER (8300B),0.67,0.22,0,0,0.11,9,121429
SUPERVISOR OF MECHANICS (92575),1,0,0,0,0,48,121196
INTELLIGENCE RESEARCH SPECIALIST (3117A),0.5,0.5,0,0,0,8,117257
ASSISTANT COUNSEL-PD (30084),0.25,0.75,0,0,0,8,116976.5
