year,Admin. for Children Services,Board of Correction,Board of Elections,Brooklyn Public Library,Business Integrity Commission,Campaign Finance Board,City Clerk,City Council,City University,Citywide Pension Contributions,Civil Service Commission,Civilian Complaint Review Bd.,Commission on Human Rights,Community Boards (All),Conflicts of Interest Board,D.O.I.T.T.,Debt Service,Department for the Aging,Department of Buildings,Department of City Planning,Department of Consumer Affairs,Department of Correction,Department of Cultural Affairs,Department of Education,Department of Employment,Department of Finance,Department of Investigation,Department of Juvenile Justice,Department of Probation,Department of Sanitation,Department of Social Services,Department of Transportation,Department of Veterans' Services,Dept Health & Mental Hygiene,Dept of Citywide Admin Srvces,Dept of Environmental Prot.,Dept of Mental Health,Dept of Parks and Recreation,Dept of Records & Info Serv.,Dept. of Design & Construction,Dept. of Emergency Management,Dept. of Homeless Services,Dept. Small Business Services,District Attorney - Bronx,District Attorney - Kings,District Attorney - N.Y.,District Attorney - Queens,District Attorney - Richmond,Districting Commission,Equal Employment Practices Com,Financial Info. Serv. Agency,Fire Department,General Reserve,Health and Hospitals Corp.,Housing Preservation & Dev.,Independent Budget Office,Intra-City Adjustment,Landmarks Preservation Comm.,Law Department,M.A.C. Debt Service,Mayoralty,Miscellaneous,New York Public Library,NY Public Library - Research,Off. of Prosec. & Spec. Narc.,Office of Administrative Tax Appeals,Office of Administrative Trials and Hearings,Office of Collective Barg.,Office of Payroll Admin.,Office of the Actuary,Office of the Comptroller,OTPS Inflation Adjustment,Police Department,Prepayment and Defeasance Adjustment,"President,Borough of Brooklyn","President,Borough of Manhattan","President,Borough of Queens","President,Borough of S.I.","President,Borough of the Bronx",Prior Payable Adjustment,Public Administrator - Bronx,Public Administrator - N.Y.,Public Administrator - Queens,Public Administrator -Richmond,Public Administrator- Brooklyn,Public Advocate,Queens Borough Public Library,Taxi & Limousine Commission,Youth & Community Development
2002,2375083000,906000,67482000,71464000,2779000,48500000,2727000,47299000,436923000,1491901000,471000,9329000,7463000,11407000,1624000,170951000,3353187000,231227000,56378000,18754000,14302000,886754000,124680000,11883255000,135866000,183819000,23138000,108943000,89660000,1005312000,5972625000,515126000,0,1436161000,643875000,668217000,276078000,270834000,4219000,621330000,0,540359000,97229000,45355000,80626000,83127000,39448000,7070000,0,342000,30790000,1266416000,0,909465000,408030000,2551000,-1390354000,3170000,96258000,462900000,109673000,4186973000,96805000,18698000,16012000,1992000,0,1482000,6129000,3149000,57602000,0,3706710000,-2263063000,6090000,5027000,6290000,4788000,6944000,-557916000,329000,915000,343000,237000,439000,2821000,68140000,22978000,153014000
2003,2345517000,830000,55630000,64665000,4685000,7245000,2586000,44921000,473180000,1750586000,480000,8875000,7756000,11536000,1547000,190359000,3032606000,229491000,57862000,19190000,13948000,866456000,120425000,12780991000,131690000,181778000,21360000,108402000,83205000,991439000,6159736000,501447000,0,1428497000,683421000,701640000,0,254169000,4219000,162386000,6630000,632418000,41954000,42730000,72604000,78975000,38756000,6352000,1660000,475000,33047000,1201248000,0,914973000,389902000,2262000,-1110255000,3046000,101995000,225236000,94449000,4485430000,87471000,16633000,15110000,1879000,0,1545000,6733000,3277000,54970000,0,3589601000,736774000,5083000,3862000,4823000,3709000,5358000,-372892000,331000,992000,344000,223000,419000,1854000,61571000,21534000,157461000
2004,2257324000,855000,68059000,66781000,4383000,14196000,2998000,46465000,544671000,2444470000,461000,10076000,7243000,11964000,1438000,201380000,3650320000,228593000,57895000,19446000,14627000,833348000,118141000,13148112000,2327000,220635000,19589000,93009000,79282000,998001000,6647548000,501650000,0,1470614000,688750000,709230000,0,261616000,4160000,82566000,7579000,673802000,112277000,43410000,69994000,78878000,38350000,6897000,4000,478000,35386000,1183700000,0,946842000,418602000,2422000,-1213036000,3127000,108603000,501534000,72939000,4578809000,89747000,16967000,15510000,1956000,0,1552000,7200000,3594000,55546000,0,3582185000,705916000,4839000,3723000,4817000,3770000,5079000,-311474000,320000,964000,344000,234000,403000,2069000,63095000,23170000,244445000
2005,2283646000,856000,59788000,70286000,4816000,5357000,3020000,47428000,575585000,3369832000,483000,9776000,6680000,12312000,1423000,223681000,4025207000,231264000,64273000,20969000,15386000,819961000,122237000,13871184000,0,202146000,19753000,95827000,78410000,1034946000,7204062000,553590000,0,1443466000,762188000,755584000,0,287086000,4329000,85061000,9104000,722640000,108277000,44219000,72683000,79272000,39299000,6977000,0,538000,37278000,1226513000,0,1125427000,473873000,2518000,-1279242000,3329000,118911000,110772000,75306000,6342446000,94737000,18154000,15433000,2319000,0,1611000,9715000,4116000,56616000,0,3904880000,1805707000,5136000,3889000,4889000,3921000,5343000,-338787000,308000,1030000,350000,269000,356000,3110000,66834000,24847000,246167000
2006,2326494000,861000,63297000,73841000,4957000,38692000,3117000,49000000,605277000,4014955000,465000,10142000,6526000,13027000,1435000,237224000,4315659000,268241000,81526000,22074000,15561000,900061000,136303000,14959318000,0,200527000,21131000,104291000,79771000,1094894000,6935913000,623223000,0,1509524000,855828000,804393000,0,308203000,4592000,87866000,12272000,725376000,125295000,45804000,76019000,81147000,41788000,6964000,0,729000,44907000,1412325000,0,1590636000,543240000,2658000,-1396500000,3680000,125134000,10000000,79102000,6270142000,96464000,19034000,16081000,2366000,0,1702000,9285000,4944000,61335000,0,3794183000,372197000,5436000,4318000,4947000,4018000,5614000,-673255000,317000,1086000,414000,339000,454000,2903000,71802000,25998000,303039000
2007,2758676000,905000,71748000,78775000,5166000,6576000,3630000,50588000,622693000,4856280000,530000,10717000,6673000,13165000,1741000,255567000,4493878000,271907000,87195000,22050000,17113000,949760000,149996000,15884401000,0,205866000,21861000,127676000,80679000,1173420000,7425152000,618376000,0,1561741000,934640000,868771000,0,332561000,4729000,96247000,14896000,732647000,122408000,47699000,79286000,86427000,44351000,7595000,0,785000,51289000,1444538000,0,810252000,576104000,2845000,-1387014000,4224000,125979000,10000000,85666000,7054203000,106357000,20087000,16782000,2601000,0,1819000,11308000,4539000,63101000,0,3856192000,1955309000,6072000,4694000,5529000,4267000,6359000,-658175000,429000,1104000,408000,348000,501000,3031000,76770000,25953000,310561000
2008,2854527000,915000,80676000,87377000,5771000,6497000,3812000,51211000,671292000,5740554000,583000,11074000,6779000,13620000,1882000,308265000,4798041000,290487000,99410000,24396000,20513000,965659000,161276000,16977034000,0,215498000,23480000,130984000,81589000,1244392000,8681886000,697786000,0,1586921000,997469000,919095000,0,370648000,5889000,96541000,17797000,785533000,136557000,50762000,83584000,90264000,47033000,8311000,0,764000,56679000,1521281000,0,256837000,597994000,2925000,-1477192000,4408000,125308000,2750000,89377000,6034401000,117298000,24326000,17778000,3072000,0,1861000,12979000,5060000,65762000,0,4148661000,1602961000,8088000,5822000,6660000,4717000,6926000,-615910000,418000,1143000,421000,362000,536000,3115000,85771000,27763000,384061000
2009,2844230000,904000,81054000,90556000,6272000,8658000,4330000,49526000,707115000,6389179000,607000,11300000,7130000,13936000,1898000,370044000,4691385000,290255000,109678000,26895000,21540000,1010200000,151387000,17903053000,0,225096000,24208000,134506000,82134000,1258215000,8327785000,787993000,0,1712205000,1092350000,1034095000,0,379595000,5933000,102107000,19993000,851310000,153491000,50463000,84282000,96919000,45764000,8305000,0,766000,58423000,1592673000,0,204573000,702224000,2884000,-1630725000,4599000,132205000,0,90933000,6169380000,121990000,24974000,17679000,3987000,0,1882000,13439000,4689000,67892000,0,4469200000,-2496716000,5652000,4996000,4717000,3986000,5566000,-576485000,508000,1148000,436000,365000,493000,2809000,89176000,28875000,382705000
2010,2877430000,921000,95706000,85504000,6930000,44320000,4221000,51478000,764705000,6755590000,554000,10091000,6899000,13980000,1909000,368768000,5004103000,281619000,101530000,26231000,22340000,1011995000,142906000,18498505000,0,230898000,22720000,138353000,82973000,1301194000,8482385000,800752000,0,1685452000,1077558000,1470930000,0,382715000,5207000,107463000,27224000,941984000,159610000,52008000,87306000,102837000,48845000,8599000,0,751000,60073000,1670022000,0,195610000,727910000,3189000,-1782184000,4608000,139774000,0,95503000,6237230000,114493000,26642000,18507000,3707000,0,2030000,23636000,4977000,67657000,0,4666857000,-1892941000,5300000,4699000,4596000,3875000,4894000,-941650000,426000,1168000,424000,376000,549000,2573000,84163000,30098000,405899000
2011,2760803000,929000,102874000,82451000,6851000,11279000,4445000,52111000,777117000,6999833000,491000,9623000,6136000,14020000,1981000,415382000,4939842000,263711000,98974000,23662000,21828000,1045113000,144050000,18938899000,0,219737000,21737000,203357000,81890000,1408383000,8068753000,864913000,0,1626906000,1117608000,1021577000,0,393740000,5179000,111878000,33826000,1019183000,148746000,51068000,84987000,104690000,48036000,8611000,0,726000,61769000,1733601000,0,184402000,705427000,3397000,-1851036000,4479000,135033000,0,94884000,6244642000,110850000,22023000,17898000,3712000,23322000,2013000,57619000,4997000,67138000,0,4804760000,95890000,5374000,4353000,4701000,3769000,4861000,-508344000,388000,1126000,425000,375000,553000,2212000,81264000,30177000,350263000
2012,2854526000,900000,109839000,85031000,6794000,9645000,4410000,51900000,791320000,7954705000,651000,8739000,6033000,14315000,1960000,452499000,5436851000,257781000,95062000,22832000,26264000,1078789000,147749000,19283256000,0,221346000,21288000,0,79679000,1281218000,9391227000,839795000,0,1569569000,1091245000,1059047000,0,361329000,5191000,127276000,23383000,900521000,137633000,50167000,87341000,105205000,49347000,8690000,0,627000,83199000,1757228000,0,207544000,731343000,3693000,-1743359000,4273000,137435000,0,93346000,6137716000,111216000,22004000,17830000,3850000,30465000,2113000,14227000,5547000,70885000,0,4867891000,-1279934000,5140000,4541000,4587000,3859000,4868000,-332715000,481000,1184000,421000,376000,472000,2236000,84284000,31716000,325034000
2013,2805021000,1031000,107473000,84698000,6995000,9691000,4407000,51591000,838710000,8178550000,767000,10608000,6131000,14387000,2032000,431624000,5761198000,262152000,102482000,20928000,27286000,1090909000,146482000,19232415000,0,222290000,36371000,0,81697000,1369768000,9513785000,833340000,0,1505970000,1177553000,1727259000,0,426328000,5470000,138142000,41539000,984265000,150340000,52873000,88348000,104551000,50497000,8943000,1381000,421000,83053000,1833309000,0,507226000,675260000,3889000,-1713507000,4452000,143852000,0,93177000,6316892000,113166000,22278000,18146000,4247000,30726000,2106000,13223000,5704000,73220000,0,4892569000,571683000,5210000,4430000,4602000,3905000,4982000,-346521000,538000,1335000,449000,441000,531000,2243000,84188000,36743000,345896000
2014,2785453000,1640000,116163000,84894000,7259000,53531000,4753000,51541000,891857000,8265364000,799000,11202000,5582000,14536000,2054000,467486000,5572467000,263876000,98679000,20556000,32474000,1103097000,156509000,20085287000,0,240289000,29030000,0,83181000,1414222000,9531094000,860606000,0,1423185000,1201704000,1192581000,0,413278000,5610000,127267000,34552000,1043282000,202310000,55675000,87844000,97595000,53113000,9294000,14000,464000,82449000,1879465000,0,337074000,689972000,3998000,-1764089000,4743000,162707000,0,95787000,10522242000,113624000,22747000,18196000,4162000,31346000,2101000,13713000,5568000,80738000,0,4912272000,-839293000,5089000,4070000,4985000,4130000,4901000,-1736861000,532000,1397000,471000,450000,604000,2322000,85068000,46394000,404446000
2015,2826694000,1522000,106755000,91560000,8065000,10647000,5587000,56911000,955125000,8616325000,735000,12684000,5795000,15093000,2193000,491716000,5924555000,285236000,108673000,24717000,37435000,1162121000,163688000,20999365000,0,251755000,34983000,0,89942000,1477412000,9771190000,884996000,0,1495547000,1157782000,1216054000,0,496268000,6252000,160279000,35038000,1169826000,273458000,60989000,94065000,107621000,56953000,10302000,0,701000,83122000,1893651000,0,335141000,718403000,3944000,-1973725000,4782000,175590000,0,101722000,9644715000,120179000,24266000,19206000,4261000,34371000,1754000,14678000,6247000,86477000,0,5151559000,1496355000,5856000,4425000,4755000,3777000,5287000,-884826000,603000,1504000,484000,477000,641000,2747000,90327000,52446000,581885000
2016,2965726461,2472600,132431486,101939232,8697968,15001836,5634527,61023705,1072296610,9285221553,1025863,15874211,10979161,17630789,2432991,673090992,5880030856,321396487,134888377,37680266,40188282,1325603205,167117788,22242644637,,268508477,50527391,0,98069031,1532956384,9383925143,963268290,0,1531344874,1140480312,1418383242,0,493511156,8133167,617323679,50548777,1326048066,354170842,61895832,97948355,121483783,59717763,10827147,0,1015181,95911341,2049382609,0,1325831379,1054518632,5034339,-1997653058,5701990,195118251,0,126284291,9143071102,134058057,26885600,21627725,4668920,38012827,2409021,17828893,7223628,94543296,,5521807171,n/a,6511682,4717095,5363116,4338685,5661779,0,626566,1742499,575502,479646,755482,3403049,101657759,52728562,691736346
2017,2977930000,3061000,123747000,100366000,9125000,16176000,5741000,64077000,1054957000,9422235000,1086000,16257000,11558000,17776000,2561000,626671000,6578997000,330888000,172072000,46272000,40598000,1392282000,181774000,23189540000,0,276768000,46706000,0,100664000,1676901000,9762917000,946262000,3843000,1524285000,1180664000,1450101000,0,506376000,7582000,478731000,59654000,1297923000,236367000,71616000,96223000,102621000,62959000,13913000,0,1017000,105724000,1948177000,1000000000,744046000,1271949000,6871000,-1763846000,6314000,211511000,0,138095000,9704495000,135072000,27463000,22121000,5022000,39537000,2421000,16407000,7244000,105001000,0,5150852000,-3993505000,6262000,4834000,5274000,4429000,5781000,0,728000,1786000,612000,514000,859000,3600000,102204000,70613000,727487000
