source,target
Culture and Community Facilities, Renovations for Jefferson Library Market
Culture and Community Facilities, Mobile Food Pantry for West Side Campaign against Hunger
Culture and Community Facilities, 125th Street Library: ADA Ramp
Culture and Community Facilities, Van Cortlandt Library Roof Replacement
Culture and Community Facilities, Mosholu Library Window Replacement
Culture and Community Facilities, Sunnyside Library Accessibility
Culture and Community Facilities, Woodside Library Accessibility
Culture and Community Facilities, Enhancement of Outdoor Performance Space at Roy Wilkins Park
Culture and Community Facilities, Upgrades to the Jamaica Performing Arts Center
Culture and Community Facilities, Technology for 3 Local Arts Non-Profits
Culture and Community Facilities, New OHEL Headquarters
Culture and Community Facilities, Technology & Media Space - Rugby Library
Culture and Community Facilities,Library Upgrades
Housing, Wilson Houses: Basketball Court Renovations
Housing, Senior Van - Jacob Riis Settlement House
Housing, Playground Upgrade at Queensbridge South
Housing, NYCHA Playground/Active Space Renovation
Housing, Green Space Landscaping & Beautification at NYCHA Developments
Housing, Playground Renovation at Williamsburg Houses
Parks and Recreation, New Park for the Community
Parks and Recreation, Revitalization of Chelsea Waterside Park
Parks and Recreation, Hudson River Greenway Bike and Pedestrian Pathway Improvements
Parks and Recreation, Basketball Court Repair at Playground 125
Parks and Recreation, Grant Houses Playground Repair
Parks and Recreation, Public Greenhouse in Hamilton Heights
Parks and Recreation, Boys & Girls Harbor: Playground Renovations
Parks and Recreation, Outdoor Fitness Center by the Hudson River
Parks and Recreation, Highbridge Community Garden
Parks and Recreation, Spuyen Duyvil Playground Renovation
Parks and Recreation, Bronx Park Improvements
Parks and Recreation, More Trees and Green Areas in LeFrak City
Parks and Recreation, Better Lighting at Junction Playground
Parks and Recreation, Dog Run in Astoria
Parks and Recreation, Adult Fitness Equipment at Alley Pond Park
Parks and Recreation, Woodside Reforestry
Parks and Recreation, Construction of a reading garden with chess tables
Parks and Recreation, Outdoor Fitness Equipment for Sunset Park
Parks and Recreation, Make Union Street & 9th Street Greener
Parks and Recreation, New Drainage along Path in Prospect Park
Parks and Recreation,Emergency Call Boxes in Forest Park
Parks and Recreation,9/11 Memorial - Forest Park
Parks and Recreation,Remove asphalt in All-American park in Broad Channel to allow for creation of another baseball/softball field.
Parks and Recreation,Improvements to 9/11 Tribute Park in Rockaway Park to include a decorative arch entry gate.
Safety, NYPD Security Cameras
Safety, NYPD Security Cameras
Safety, NYPD Cameras Throughout Community
Safety, Security Cameras
Schools, Bathroom Renovations at Lab School
Schools, PS3 Library Renovations
Schools, Green Roof for PS/IS 217
Schools, Rooftop Recreation for PS 151
Schools, Turf Field at Martin Luther King High School
Schools, School Technology Upgrades
Schools, WHEELS Playground Installation
Schools, Dos Puentes/PS 132 Playground Installation: Phase 1
Schools, MS/HS 141 School Auditorium Renovation
Schools, P.S. 24 Technology Expansion
Schools, P.S. 8 Auditorium Renovation
Schools, Security Cameras for Public Schools
Schools, Air Conditioning for Public Schools
Schools, Bayside High School Music Studio
Schools, P.S. 169 Auditorium Upgrade
Schools, P.S. 159 Technology Upgrade
Schools, PS 307Q Pioneer Academy New Smartboards
Schools, Public School District-wide Technology Upgrades
Schools, I.S. 126 Playground
Schools, Technology Upgrades at 9 Schools Within the Council District
Schools, Gym Renovations at Two High Schools within the Council District
Schools, Technology Upgrades for P.S./I.S. 78
Schools, Technology Upgrades at IS 59
Schools, Technology Upgrades at York Early College Academy
Schools, Staying Cool in School
Schools, Sound and Projection System
Schools, Environmental Upgrade to Playground at P.S.19/ Brooklyn Arbor School
Schools, Community Technology Library and Media Center at P.S. 196/M.S.582
Schools, Technology for the Future
Schools, P.S. 503/P.S. 506 Playground Lighting
Schools, Expansion of Exit Doors at P.S. 169
Schools,Bathroom Renovations
Schools, Red Hook Library Multimedia Room
Schools, A/C for P.S. 124 Cafeteria (Title 1 School
Schools, PS146/MS448 Innovative Gym Renovation
Schools, PS 179 Auditorium Renovation
Schools, A Room With a View
Schools, Improve Our Restrooms
Schools, Computers for Job Readiness & Placement at HABNET
Schools, Tech Upgrade - IS 285
Schools, Smart Boards for Smart Children
Schools, Technology in Schools
Schools,Technology Upgrades at Local Schools
Schools,Auditorium Upgrade
Schools,"Upgrades to our schools to include: P.S. 46 - Tech equipment ($50,000); P.S.317 - Electrical upgrades ($70,000); P.S. 114 - Media Center ($75,000); Beach Channel Campus - Mobile laboratory cart ($80,000); Scholars' Academy - Tech carts; ID swipe station ($70,000)."
Streets and Transportation, Sidewalk Repair/Replacement
Streets and Transportation, Pedestrian Safety: Raised Crosswalks
Streets and Transportation," Countdown Meter Clocks at Crosstown Bus Stops on 96th, 86th, 79th & 65th St."
Streets and Transportation, Planting Sidewalk Trees
Streets and Transportation, Bus Countdown Clocks
Streets and Transportation, Bus Countdown Clocks
Streets and Transportation, Upgraded Lighting Along Roosevelt Avenue from 82nd Street to 90th Street
Streets and Transportation, Long Island City Bikeway
Streets and Transportation, Real Time Passenger Information
Streets and Transportation, Road Resurfacing in Community Board 12
Streets and Transportation, On the Go! Real-time Subway Information
Streets and Transportation, Safer Pedestrian Crossings on Meeker Ave
Streets and Transportation, Four Safer Intersections on Hicks Street
Streets and Transportation, Street Repair and Resurfacing
Streets and Transportation, B11 Bus Time Signs - Real Time Passenger Information
Streets and Transportation, Beautify Boro Park
Streets and Transportation, Safe Neighborhood Streets
Streets and Transportation, Coney Island Street Repairs
Streets and Transportation, Coney Island Hospital Bus Stop Improvements
Streets and Transportation,"Repair center medians along Cross Bay Boulevard in Broad Channel, between 1st and 5th Roads"
Youth, Air Conditioning at Bronx Schools
Youth, Music Studio
